Program launched in profiler mode on the tracee2 tracee.
Detected profiler mode
Tracee path = tracee2
Address of main = 804889c
80489a3 | ff | 10ff
805b500 | 8d | 8d
805b506 | f7 | f7
805b510 | 74 | 2074
805b512 | 8d | 8d
805b518 | f7 | f7
805b522 | 75 | 1075
805b536 | c3 | 80c3
80489a5 | 81 | f081
80489ab | 89 | 89
80489ad | 73 | 5073
8048a02 | e8 | 40e8
8049450 | 83 | e083
8049453 | 6a | 406a
8049455 | 68 | c068
804945a | e8 | 60e8
80491c0 | 55 | 5055
80491c1 | 57 | 5057
80491c2 | 56 | 5056
80491c3 | 53 | 8053
80491c4 | 83 | e083
80491c7 | a1 | 90a1
80491cc | 8b | 708b
80491d0 | 85 | c085
80491d2 | 74 | 3074
80491d4 | 8b | 108b
80491da | c1 | e0c1
80491dd | 1 | c001
80491df | 39 | d039
80491e1 | 72 | 72
80491ef | 83 | 3083
80491f2 | 75 | f075
80491e8 | 83 | c083
80491eb | 39 | d039
80491ed | 73 | 2073
80491ef | 83 | 3083
80491f2 | 75 | f075
80491e8 | 83 | c083
80491eb | 39 | d039
80491ed | 73 | 2073
80491ef | 83 | 3083
80491f2 | 75 | f075
80491e8 | 83 | c083
80491eb | 39 | d039
80491ed | 73 | 2073
80491ef | 83 | 3083
80491f2 | 75 | f075
80491f4 | 8b | 608b
80491f7 | 8b | 408b
80491fa | 8b | 508b
80491fd | 8b | 708b
8049200 | 39 | e039
8049202 | 89 | 4089
8049206 | 89 | 5089
804920a | f | 400f
804920d | eb | 10eb
8049224 | a1 | 60a1
8049229 | 31 | d031
804922b | 83 | e083
804922e | 1 | f001
8049230 | 8d | 408d
8049234 | f7 | f0f7
8049236 | f | a00f
8049239 | 89 | c089
804923b | 8b | 408b
804923f | 1 | f001
8049241 | 1 | d001
8049243 | 50 | e050
8049244 | e8 | f0e8
806de40 | 56 | 5056
806de41 | 53 | 8053
806de42 | 83 | e083
806de45 | 8b | 108b
806de4b | 8b | 708b
806de4f | 85 | d085
806de51 | 74 | 3074
806de90 | 83 | e083
806de93 | 6a | 6a
806de95 | e8 | e0e8
8091e80 | 53 | b053
8091e81 | b8 | 20b8
8091e86 | 8b | 508b
8091e8a | ff | 10ff
b777cc28 | 51 | 5051
b777cc29 | 52 | 5052
b777cc2a | 55 | 8055
b777cc2b | 89 | e089
b777cc2d | f | 300f
b777cc31 | 5d | 505d
b777cc32 | 5a | 505a
b777cc33 | 59 | c059
b777cc34 | c3 | c0c3
8091e90 | 39 | c039
8091e92 | a3 | 80a3
8091e97 | 77 | 77
8091e99 | 31 | c031
8091e9b | 5b | c05b
8091e9c | c3 | 80c3
806de9a | 83 | c083
806de9d | 85 | c085
806de9f | 8b | 108b
806dea5 | 79 | b079
806de5c | 83 | f083
806de5f | 74 | 2074
806de61 | 7e | 607e
806de63 | 89 | d089
806de65 | 1 | f001
806de67 | f | 900f
806de6a | 84 | c084
806de6c | 74 | 4074
806deb0 | 83 | e083
806deb3 | 1 | d001
806deb5 | 56 | e056
806deb6 | e8 | c0e8
8091e80 | 53 | b053
8091e81 | b8 | 20b8
8091e86 | 8b | 508b
8091e8a | ff | 10ff
b777cc28 | 51 | 5051
b777cc29 | 52 | 5052
b777cc2a | 55 | 8055
b777cc2b | 89 | e089
b777cc2d | f | 300f
b777cc31 | 5d | 505d
b777cc32 | 5a | 505a
b777cc33 | 59 | c059
b777cc34 | c3 | c0c3
8091e90 | 39 | c039
8091e92 | a3 | 80a3
8091e97 | 77 | 77
8091e99 | 31 | c031
8091e9b | 5b | c05b
8091e9c | c3 | 80c3
